state,pct_difference,state_round1_rec
VA,-55.605272128709,Recieved stimulus
VA,-33.2808033891384,Recieved stimulus
VA,2.45168818653294,Recieved stimulus
VA,14.4225280122731,Recieved stimulus
VA,28.1528760611165,Recieved stimulus
VA,55.5698337792247,Recieved stimulus
VA,3.20360045800664,Recieved stimulus
VA,62.0059483283764,Recieved stimulus
VA,5.984101064818,Recieved stimulus
VA,33.8867690815925,Recieved stimulus
VA,7.90743313727979,Recieved stimulus
VA,-151.268511421125,Recieved stimulus
VA,-33.900423990652,Recieved stimulus
VA,51.6887092434155,Recieved stimulus
VA,22.662404168765,Recieved stimulus
VA,-53.689431638715,Recieved stimulus
VA,9.02407931916646,Recieved stimulus
VA,-18.6351218791311,Recieved stimulus
VA,-4.39122169650958,Recieved stimulus
VA,17.3251887781602,Recieved stimulus
VA,43.3149488237915,Recieved stimulus
VA,37.5062674240108,Recieved stimulus
VA,-8.56576768525473,Recieved stimulus
VA,37.8727301660272,Recieved stimulus
VA,-12.3743879826333,Recieved stimulus
VA,-0.763058515786649,Recieved stimulus
VA,-16.6849331113472,Recieved stimulus
VA,65.53062622255,Recieved stimulus
VA,33.5245116371606,Recieved stimulus
VA,47.2384900198583,Recieved stimulus
VA,25.9724800419416,Recieved stimulus
VA,-29.7573966675621,Recieved stimulus
VA,-106.223768258169,Recieved stimulus
VA,36.1785717999646,Recieved stimulus
VA,46.2075289883765,Recieved stimulus
VA,19.0369000965782,Recieved stimulus
VA,72.1643216739563,Recieved stimulus
VA,66.2937926194613,Recieved stimulus
VA,-62.9836049591343,Recieved stimulus
VA,26.2805298015028,Recieved stimulus
VA,19.6513104867558,Recieved stimulus
VA,26.1134246923814,Recieved stimulus
VA,51.2293351149614,Recieved stimulus
VA,44.7975097146414,Recieved stimulus
VA,44.915673433078,Recieved stimulus
VA,10.9452608152736,Recieved stimulus
VA,21.0098666277939,Recieved stimulus
VA,67.1156578040536,Recieved stimulus
VA,0.257747758762996,Recieved stimulus
VA,14.7117890141854,Recieved stimulus
VA,17.5816266391082,Recieved stimulus
VA,28.8531906730314,Recieved stimulus
VA,30.4612539938781,Recieved stimulus
VA,103.3421777072,Recieved stimulus
VA,-50.9927989747303,Recieved stimulus
VA,60.0509317469068,Recieved stimulus
VA,-6.57159311644069,Recieved stimulus
VA,18.0027917071421,Recieved stimulus
VA,115.349234641086,Recieved stimulus
VA,62.8552503889462,Recieved stimulus
VA,45.0977311330114,Recieved stimulus
VA,41.5074688307778,Recieved stimulus
VA,62.4061121198973,Recieved stimulus
VA,-1.18411811012487,Recieved stimulus
VA,45.4968472130368,Recieved stimulus
VA,23.32410675358,Recieved stimulus
VA,37.1149931480422,Recieved stimulus
VA,48.1983091440703,Recieved stimulus
VA,63.6285626237091,Recieved stimulus
VA,30.1497756210476,Recieved stimulus
VA,48.5629443519845,Recieved stimulus
VA,42.6432723696857,Recieved stimulus
VA,35.3751139009821,Recieved stimulus
VA,52.921725304854,Recieved stimulus
VA,9.08307299088841,Recieved stimulus
VA,28.1555420391771,Recieved stimulus
VA,-31.4073041262045,Recieved stimulus
VA,80.5525599548092,Recieved stimulus
VA,-30.6018905669633,Recieved stimulus
VA,33.6027726694016,Recieved stimulus
